N°,DELEGACION,MERCADO,NUM_OFIC,NUM_LOCALE,Coord_Y,Coord_X,DIRECCION,COLONIA,TIPO,SUPERF_M2,INAUGURACI,ANTIGÜEDA,VOCACIÓN,DETALLE,FORMA,NIVELES,TAMAÑO1,PROTEGIDO,COORGEOG_Y,COORGEOG_X
152,GUSTAVO A. MADERO,SAN JUAN DE ARAGON UNIDAD 2,218,108,2151060.81135,491013.95536,"AV. 506, 553 Y 549",SAN JUAN DE ARAGÓN UNIDAD 2,TRADICIONAL,5945,1964,56,N/D,N/D,CUADRO,1,CHICO,NO,-99.0856129999,19.4539619148
153,GUSTAVO A. MADERO,SAN JUAN DE ARAGON UNIDAD 3,219,232,2150820.91336,492468.93359,"AV. 606, 597 Y 595",SAN JUAN DE ARAGÓN UNIDAD 3,TRADICIONAL,3657,1964,56,N/D,N/D,CUADRO,1,MEDIANO,NO,-99.0717499999,19.4517999148
159,GUSTAVO A. MADERO,SANTA ISABEL TOLA,221,67,2156025.66675,487744.73952,CUAUHTEMOC Y CACAMA,STA. ISABEL TOLA,TRADICIONAL,1580,1959,61,N/D,N/D,RECTANGULO,1,CHICO,NO,-99.116792,19.4988129146
141,GUSTAVO A. MADERO,PRADERA,242,106,2153462.91792,492911.02453,MALINCHE Y POPOCATEPETL,LA PRADERA,TRADICIONAL,1967,1963,57,N/D,N/D,RECTANGULO,1,CHICO,NO,-99.0675479999,19.4756779147
122,GUSTAVO A. MADERO,CAMPESTRE ARAGON,272,137,2154596.92875,491792.59267,"CALLE ESFUERZO""A""  ESQ. CAMINO CENTRAL SUR",CAMPESTRE ARAGÓN,TRADICIONAL,2763,1976,44,N/D,N/D,RECTANGULO,1,CHICO,NO,-99.0782099999,19.4859219147
120,GUSTAVO A. MADERO,AMPLIACION GABRIEL HERNANDEZ,277,78,2156804.42607,489537.01921,EVA SAMANO DE LOPEZ MATEOS Y RODOLFO MENDEZ,AMPLIACIÓN GABRIEL HERNANDEZ,TRADICIONAL,2317,1982,38,N/D,N/D,RECTANGULO,1,CHICO,NO,-99.099716,19.5058609146
164,GUSTAVO A. MADERO,VEINTICINCO DE JULIO,302,249,2155727.80609,491330.34821,"EJIDO Y CANAL DE DESAGUE, ENTRE CANAL Y CUAUHTEMOC",VEINTICINCO DE JULIO,ESPECIALIZADO,3002,1978,42,"MUEBLES, FERRETERÍA, JACIERÍA, MIMBRE, CESTERÍA, HERRAMIENTAS, ARTÍCULOS PARA COCINA, ARTÍCULOS ESOTÉRICOS",HERRAMIENTAS,RECTANGULO,1,MEDIANO,NO,-99.0826199999,19.4961399147
157,GUSTAVO A. MADERO,SAN PEDRO EL CHICO,329,51,2152601.11042,489959.63605,AV.TALISMAN Y NORTE 94,SAN PEDRO EL CHICO,TRADICIONAL,1644,1979,41,N/D,N/D,CUADRO,1,CHICO,NO,-99.0956659999,19.4678769147
136,GUSTAVO A. MADERO,MA. ESTHER ZUNO DE ECHEVERRIA,330,90,2154305.57567,487708.51882,AQUILES SERDAN Y FRAY JUAN DE ZUMARRAGA,VILLA GUSTAVO A. MADERO,ESPECIALIZADO,2168,1976,44,COMIDA PREPARADA Y OTROS,COMIDA PREPARADA,CUADRO,1,CHICO,NO,-99.117126,19.4832679146
154,GUSTAVO A. MADERO,SAN JUAN DE ARAGON UNIDAD 4 Y 5,336,169,2151017.37584,493170.99809,CALLE 625 Y CALLE 623 ENTRE CALLE 604 Y CALLE 606,SAN JUAN DE ARAGÓN UNIDAD 4 Y 5,TRADICIONAL,5635,1973,47,N/D,N/D,RECTANGULO,1,CHICO,NO,-99.065062,19.4535779147
126,GUSTAVO A. MADERO,CUCHILLA DEL TESORO,338,128,2150357.48625,493972.57871,AV. CUHILLA DEL TESORO Y AV. DEL PARQUE,CUCHILLA DEL TESORO,TRADICIONAL,3533,1980,40,N/D,N/D,CUADRO,1,CHICO,NO,-99.0574229999,19.4476169148
155,GUSTAVO A. MADERO,SAN JUAN DE ARAGON UNIDAD 6,339,190,2152446.04954,493098.91096,"AV. 506, 553 Y 549",SAN JUAN DE ARAGÓN UNIDAD 6,TRADICIONAL,4403,1987,33,N/D,N/D,CUADRO,1,CHICO,NO,-99.065754,19.4664889147
142,GUSTAVO A. MADERO,PRIMERO DE SEPTIEMBRE,354,244,2152450.48191,485872.14473,"BORODIN, CLAVE Y PUCCINI",VALLEJO,TRADICIONAL,2473,1981,39,N/D,N/D,RECTANGULO,1,CHICO,NO,-99.134611,19.4664909148
